Nombre;preSobrantes;preFaltantes;postSobrantes;postFaltantes;
RuidoL-DepotsFold1;3;1;0;0;
RuidoL-DepotsFold2;3;1;1;0;
RuidoL-DepotsFold3;2;1;0;0;
RuidoL-DepotsFold4;3;1;0;0;
RuidoL-DepotsFold5;3;1;0;0;
RuidoL-DepotsR10Fold1;6;6;6;8;
RuidoL-DepotsR10Fold2;2;2;5;1;
RuidoL-DepotsR10Fold3;2;6;3;4;
RuidoL-DepotsR10Fold4;6;5;2;1;
RuidoL-DepotsR10Fold5;3;7;5;2;
RuidoL-DepotsR20Fold1;4;3;10;1;
RuidoL-DepotsR20Fold2;6;6;8;1;
RuidoL-DepotsR20Fold3;2;3;4;2;
RuidoL-DepotsR20Fold4;5;5;8;4;
RuidoL-DepotsR20Fold5;3;6;10;4;
RuidoL-DepotsR3Fold1;3;2;0;0;
RuidoL-DepotsR3Fold2;3;1;1;0;
RuidoL-DepotsR3Fold3;2;2;1;2;
RuidoL-DepotsR3Fold4;3;2;2;0;
RuidoL-DepotsR3Fold5;3;1;0;2;
RuidoL-DepotsR5Fold1;3;5;4;6;
RuidoL-DepotsR5Fold2;3;7;4;7;
RuidoL-DepotsR5Fold3;2;6;2;7;
RuidoL-DepotsR5Fold4;3;5;2;7;
RuidoL-DepotsR5Fold5;4;4;3;8;
