Nombre;preSobrantes;preFaltantes;postSobrantes;postFaltantes;
RuidoL-DriverLogFold1;2;0;1;1;
RuidoL-DriverLogFold2;2;0;0;0;
RuidoL-DriverLogFold3;2;0;0;0;
RuidoL-DriverLogFold4;2;0;1;1;
RuidoL-DriverLogFold5;2;0;1;1;
RuidoL-DriverLogR10Fold1;4;7;6;5;
RuidoL-DriverLogR10Fold2;2;5;5;4;
RuidoL-DriverLogR10Fold3;1;7;9;2;
RuidoL-DriverLogR10Fold4;5;7;11;4;
RuidoL-DriverLogR10Fold5;3;4;3;8;
RuidoL-DriverLogR20Fold1;2;8;8;4;
RuidoL-DriverLogR20Fold2;3;8;13;3;
RuidoL-DriverLogR20Fold3;1;10;15;1;
RuidoL-DriverLogR20Fold4;1;2;6;6;
RuidoL-DriverLogR20Fold5;1;6;10;8;
RuidoL-DriverLogR3Fold1;2;1;1;2;
RuidoL-DriverLogR3Fold2;2;3;2;3;
RuidoL-DriverLogR3Fold3;2;2;1;1;
RuidoL-DriverLogR3Fold4;2;1;1;3;
RuidoL-DriverLogR3Fold5;2;1;2;1;
RuidoL-DriverLogR5Fold1;1;3;7;2;
RuidoL-DriverLogR5Fold2;1;4;2;2;
RuidoL-DriverLogR5Fold3;2;4;3;5;
RuidoL-DriverLogR5Fold4;0;2;4;4;
RuidoL-DriverLogR5Fold5;2;3;3;5;
