Nombre;preSobrantes;preFaltantes;postSobrantes;postFaltantes;
RuidoL-SatelliteFold1;3;3;2;3;
RuidoL-SatelliteFold2;3;3;2;3;
RuidoL-SatelliteFold3;3;3;2;3;
RuidoL-SatelliteFold4;3;3;2;3;
RuidoL-SatelliteFold5;3;3;2;3;
RuidoL-SatelliteR10Fold1;4;13;11;2;
RuidoL-SatelliteR10Fold2;3;13;9;5;
RuidoL-SatelliteR10Fold3;4;13;10;6;
RuidoL-SatelliteR10Fold4;3;13;8;6;
RuidoL-SatelliteR10Fold5;3;3;3;5;
RuidoL-SatelliteR20Fold1;3;10;6;4;
RuidoL-SatelliteR20Fold2;5;10;10;7;
RuidoL-SatelliteR20Fold3;4;13;13;5;
RuidoL-SatelliteR20Fold4;4;15;7;6;
RuidoL-SatelliteR20Fold5;4;12;11;3;
RuidoL-SatelliteR3Fold1;3;3;3;5;
RuidoL-SatelliteR3Fold2;3;6;4;3;
RuidoL-SatelliteR3Fold3;3;5;4;5;
RuidoL-SatelliteR3Fold4;3;7;4;5;
RuidoL-SatelliteR3Fold5;3;4;2;3;
RuidoL-SatelliteR5Fold1;3;13;8;5;
RuidoL-SatelliteR5Fold2;3;7;3;4;
RuidoL-SatelliteR5Fold3;3;8;7;4;
RuidoL-SatelliteR5Fold4;3;10;7;4;
RuidoL-SatelliteR5Fold5;4;7;5;5;
