Nombre;preSobrantes;preFaltantes;postSobrantes;postFaltantes;
RuidoL-ZenotravelFold1;13;4;3;3;
RuidoL-ZenotravelFold2;16;4;4;4;
RuidoL-ZenotravelFold3;18;4;5;5;
RuidoL-ZenotravelFold4;19;4;5;5;
RuidoL-ZenotravelFold5;18;4;5;5;
RuidoL-ZenotravelR10Fold1;13;6;6;9;
RuidoL-ZenotravelR10Fold2;16;9;5;8;
RuidoL-ZenotravelR10Fold3;18;7;4;5;
RuidoL-ZenotravelR10Fold4;19;8;5;4;
RuidoL-ZenotravelR10Fold5;18;6;4;4;
RuidoL-ZenotravelR20Fold1;13;9;5;5;
RuidoL-ZenotravelR20Fold2;16;9;4;6;
RuidoL-ZenotravelR20Fold3;18;7;6;6;
RuidoL-ZenotravelR20Fold4;19;9;4;6;
RuidoL-ZenotravelR20Fold5;18;9;6;9;
RuidoL-ZenotravelR3Fold1;13;5;5;5;
RuidoL-ZenotravelR3Fold2;16;4;5;5;
RuidoL-ZenotravelR3Fold3;18;4;4;4;
RuidoL-ZenotravelR3Fold4;19;5;5;4;
RuidoL-ZenotravelR3Fold5;18;5;4;4;
RuidoL-ZenotravelR5Fold1;13;4;5;7;
RuidoL-ZenotravelR5Fold2;16;6;7;8;
RuidoL-ZenotravelR5Fold3;18;5;4;5;
RuidoL-ZenotravelR5Fold4;19;4;5;6;
RuidoL-ZenotravelR5Fold5;18;7;6;8;
