Nombre;preSobrantes;preFaltantes;postSobrantes;postFaltantes;
RuidoN-DepotsFold1;3;1;0;0;
RuidoN-DepotsFold2;3;1;1;0;
RuidoN-DepotsFold3;2;1;0;0;
RuidoN-DepotsFold4;3;1;0;0;
RuidoN-DepotsFold5;3;1;0;0;
RuidoN-DepotsR10Fold1;10;1;0;0;
RuidoN-DepotsR10Fold2;9;1;1;0;
RuidoN-DepotsR10Fold3;8;1;0;0;
RuidoN-DepotsR10Fold4;10;1;0;0;
RuidoN-DepotsR10Fold5;11;1;0;0;
RuidoN-DepotsR20Fold1;12;1;0;0;
RuidoN-DepotsR20Fold2;9;1;0;0;
RuidoN-DepotsR20Fold3;8;1;1;0;
RuidoN-DepotsR20Fold4;10;1;0;0;
RuidoN-DepotsR20Fold5;11;1;0;0;
RuidoN-DepotsR3Fold1;9;1;1;0;
RuidoN-DepotsR3Fold2;9;1;0;0;
RuidoN-DepotsR3Fold3;9;1;1;0;
RuidoN-DepotsR3Fold4;10;1;0;0;
RuidoN-DepotsR3Fold5;11;1;0;0;
RuidoN-DepotsR5Fold1;10;1;0;0;
RuidoN-DepotsR5Fold2;9;1;0;0;
RuidoN-DepotsR5Fold3;9;1;3;0;
RuidoN-DepotsR5Fold4;10;1;0;0;
RuidoN-DepotsR5Fold5;11;1;0;0;
