Nombre;preSobrantes;preFaltantes;postSobrantes;postFaltantes;
RuidoN-SatelliteFold1;3;3;2;3;
RuidoN-SatelliteFold2;3;3;2;3;
RuidoN-SatelliteFold3;3;3;2;3;
RuidoN-SatelliteFold4;3;3;2;3;
RuidoN-SatelliteFold5;3;3;2;3;
RuidoN-SatelliteR10Fold1;9;3;2;3;
RuidoN-SatelliteR10Fold2;9;3;0;1;
RuidoN-SatelliteR10Fold3;8;3;2;3;
RuidoN-SatelliteR10Fold4;3;3;1;2;
RuidoN-SatelliteR10Fold5;8;3;0;1;
RuidoN-SatelliteR20Fold1;10;3;1;1;
RuidoN-SatelliteR20Fold2;10;3;1;2;
RuidoN-SatelliteR20Fold3;8;3;2;3;
RuidoN-SatelliteR20Fold4;4;3;2;3;
RuidoN-SatelliteR20Fold5;8;3;2;3;
RuidoN-SatelliteR3Fold1;9;3;2;3;
RuidoN-SatelliteR3Fold2;9;3;0;1;
RuidoN-SatelliteR3Fold3;8;3;0;1;
RuidoN-SatelliteR3Fold4;3;3;0;1;
RuidoN-SatelliteR3Fold5;8;3;2;3;
RuidoN-SatelliteR5Fold1;8;3;0;1;
RuidoN-SatelliteR5Fold2;9;3;0;1;
RuidoN-SatelliteR5Fold3;8;3;1;2;
RuidoN-SatelliteR5Fold4;4;3;3;3;
RuidoN-SatelliteR5Fold5;8;3;0;1;
