Nombre;preSobrantes;preFaltantes;postSobrantes;postFaltantes;
RuidoN-ZenotravelFold1;13;4;3;3;
RuidoN-ZenotravelFold2;16;4;4;4;
RuidoN-ZenotravelFold3;18;4;4;4;
RuidoN-ZenotravelFold4;19;4;4;4;
RuidoN-ZenotravelFold5;18;4;4;4;
RuidoN-ZenotravelR10Fold1;25;3;3;3;
RuidoN-ZenotravelR10Fold2;30;3;1;1;
RuidoN-ZenotravelR10Fold3;28;3;3;3;
RuidoN-ZenotravelR10Fold4;33;3;5;4;
RuidoN-ZenotravelR10Fold5;27;3;3;3;
RuidoN-ZenotravelR20Fold1;28;3;2;2;
RuidoN-ZenotravelR20Fold2;26;3;3;3;
RuidoN-ZenotravelR20Fold3;28;3;4;4;
RuidoN-ZenotravelR20Fold4;33;3;5;4;
RuidoN-ZenotravelR20Fold5;27;3;2;2;
RuidoN-ZenotravelR3Fold1;28;3;4;4;
RuidoN-ZenotravelR3Fold2;29;3;4;4;
RuidoN-ZenotravelR3Fold3;28;3;2;2;
RuidoN-ZenotravelR3Fold4;33;3;5;4;
RuidoN-ZenotravelR3Fold5;28;3;3;3;
RuidoN-ZenotravelR5Fold1;28;3;1;1;
RuidoN-ZenotravelR5Fold2;27;3;4;4;
RuidoN-ZenotravelR5Fold3;28;3;3;3;
RuidoN-ZenotravelR5Fold4;33;3;4;3;
RuidoN-ZenotravelR5Fold5;28;3;4;4;
