Dominio; succPlans; failPlans
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelFold1.pddl; 2; 4
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR10Fold1.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR20Fold1.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR3Fold1.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR5Fold1.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelFold2.pddl; 1; 5
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR10Fold2.pddl; 1; 5
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR20Fold2.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR3Fold2.pddl; 1; 5
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR5Fold2.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelFold3.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR10Fold3.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR20Fold3.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR3Fold3.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR5Fold3.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelFold4.pddl; 1; 5
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR10Fold4.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR20Fold4.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR3Fold4.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR5Fold4.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelFold5.pddl; 1; 5
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR10Fold5.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR20Fold5.pddl; 0; 6
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR3Fold5.pddl; 1; 5
outputPM/Domains/RuidoL-Zenotravel/RuidoL-ZenotravelR5Fold5.pddl; 0; 6
