Dominio; succPlans; failPlans
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsFold1.pddl; 0; 4
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR10Fold1.pddl; 0; 4
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR20Fold1.pddl; 0; 4
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR3Fold1.pddl; 0; 4
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR5Fold1.pddl; 0; 4
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsFold2.pddl; 0; 4
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR10Fold2.pddl; 0; 4
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR20Fold2.pddl; 0; 4
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR3Fold2.pddl; 0; 4
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR5Fold2.pddl; 0; 4
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsFold3.pddl; 4; 1
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR10Fold3.pddl; 0; 5
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR20Fold3.pddl; 0; 5
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR3Fold3.pddl; 0; 5
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR5Fold3.pddl; 0; 5
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsFold4.pddl; 0; 3
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR10Fold4.pddl; 0; 3
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR20Fold4.pddl; 0; 3
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR3Fold4.pddl; 0; 3
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR5Fold4.pddl; 0; 3
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsFold5.pddl; 0; 3
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR10Fold5.pddl; 0; 3
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR20Fold5.pddl; 0; 3
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR3Fold5.pddl; 0; 3
outputPM/Domains/RuidoN-Depots/RuidoN-DepotsR5Fold5.pddl; 0; 3
