Dominio; succPlans; failPlans
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogFold1.pddl; 6; 0
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR10Fold1.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR20Fold1.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR3Fold1.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR5Fold1.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogFold2.pddl; 6; 0
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR10Fold2.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR20Fold2.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR3Fold2.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR5Fold2.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogFold3.pddl; 6; 0
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR10Fold3.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR20Fold3.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR3Fold3.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR5Fold3.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogFold4.pddl; 6; 0
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR10Fold4.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR20Fold4.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR3Fold4.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR5Fold4.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogFold5.pddl; 6; 0
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR10Fold5.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR20Fold5.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR3Fold5.pddl; 0; 6
outputPM/Domains/RuidoN-DriverLog/RuidoN-DriverLogR5Fold5.pddl; 0; 6
