Dominio; succPlans; failPlans
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteFold1.pddl; 6; 0
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR10Fold1.pddl; 0; 6
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR20Fold1.pddl; 0; 6
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR3Fold1.pddl; 0; 6
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR5Fold1.pddl; 0; 6
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteFold2.pddl; 2; 1
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR10Fold2.pddl; 0; 3
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR20Fold2.pddl; 0; 3
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR3Fold2.pddl; 0; 3
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR5Fold2.pddl; 0; 3
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteFold3.pddl; 5; 0
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR10Fold3.pddl; 0; 5
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR20Fold3.pddl; 0; 5
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR3Fold3.pddl; 0; 5
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR5Fold3.pddl; 0; 5
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteFold4.pddl; 6; 0
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR10Fold4.pddl; 6; 0
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR20Fold4.pddl; 0; 6
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR3Fold4.pddl; 6; 0
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR5Fold4.pddl; 0; 6
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteFold5.pddl; 2; 2
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR10Fold5.pddl; 0; 4
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR20Fold5.pddl; 0; 4
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR3Fold5.pddl; 0; 4
outputPM/Domains/RuidoN-Satellite/RuidoN-SatelliteR5Fold5.pddl; 0; 4
