Nombre;preSobrantes;preFaltantes;postSobrantes;postFaltantes;
RuidoL-DepotsFold1;2;1;0;0;
RuidoL-DepotsFold2;2;1;1;0;
RuidoL-DepotsFold3;2;1;0;0;
RuidoL-DepotsFold4;2;1;0;0;
RuidoL-DepotsFold5;2;1;0;0;
RuidoL-DepotsR10Fold1;4;7;6;4;
RuidoL-DepotsR10Fold2;1;4;8;0;
RuidoL-DepotsR10Fold3;3;4;9;5;
RuidoL-DepotsR10Fold4;5;4;1;1;
RuidoL-DepotsR10Fold5;3;6;6;0;
RuidoL-DepotsR20Fold1;6;2;8;2;
RuidoL-DepotsR20Fold2;5;6;8;1;
RuidoL-DepotsR20Fold3;2;3;4;2;
RuidoL-DepotsR20Fold4;4;5;8;4;
RuidoL-DepotsR20Fold5;2;6;10;4;
RuidoL-DepotsR3Fold1;2;5;4;11;
RuidoL-DepotsR3Fold2;2;10;7;4;
RuidoL-DepotsR3Fold3;2;5;2;14;
RuidoL-DepotsR3Fold4;3;7;4;1;
RuidoL-DepotsR3Fold5;2;6;2;18;
RuidoL-DepotsR5Fold1;4;6;1;8;
RuidoL-DepotsR5Fold2;2;1;0;2;
RuidoL-DepotsR5Fold3;2;7;4;7;
RuidoL-DepotsR5Fold4;1;4;5;6;
RuidoL-DepotsR5Fold5;4;7;10;8;
