Nombre;preSobrantes;preFaltantes;postSobrantes;postFaltantes;
RuidoL-DriverLogFold1;2;0;1;1;
RuidoL-DriverLogFold2;2;0;0;0;
RuidoL-DriverLogFold3;2;0;0;0;
RuidoL-DriverLogFold4;2;0;1;1;
RuidoL-DriverLogFold5;2;0;1;1;
RuidoL-DriverLogR10Fold1;1;9;14;3;
RuidoL-DriverLogR10Fold2;2;6;4;3;
RuidoL-DriverLogR10Fold3;2;6;7;2;
RuidoL-DriverLogR10Fold4;4;7;13;4;
RuidoL-DriverLogR10Fold5;4;3;6;9;
RuidoL-DriverLogR20Fold1;4;8;10;1;
RuidoL-DriverLogR20Fold2;5;5;10;3;
RuidoL-DriverLogR20Fold3;1;9;18;0;
RuidoL-DriverLogR20Fold4;5;7;7;5;
RuidoL-DriverLogR20Fold5;2;8;8;7;
RuidoL-DriverLogR3Fold1;0;13;10;4;
RuidoL-DriverLogR3Fold2;0;4;5;3;
RuidoL-DriverLogR3Fold3;0;11;4;6;
RuidoL-DriverLogR3Fold4;1;6;3;5;
RuidoL-DriverLogR3Fold5;1;8;4;5;
RuidoL-DriverLogR5Fold1;1;6;12;5;
RuidoL-DriverLogR5Fold2;2;6;13;3;
RuidoL-DriverLogR5Fold3;3;6;5;4;
RuidoL-DriverLogR5Fold4;1;4;5;6;
RuidoL-DriverLogR5Fold5;2;5;6;5;
