Nombre;preSobrantes;preFaltantes;postSobrantes;postFaltantes;
RuidoL-SatelliteFold1;3;3;2;3;
RuidoL-SatelliteFold2;3;3;2;3;
RuidoL-SatelliteFold3;3;3;2;3;
RuidoL-SatelliteFold4;3;3;2;3;
RuidoL-SatelliteFold5;3;3;2;3;
RuidoL-SatelliteR10Fold1;4;13;2;4;
RuidoL-SatelliteR10Fold2;3;16;11;4;
RuidoL-SatelliteR10Fold3;4;8;7;4;
RuidoL-SatelliteR10Fold4;3;14;7;5;
RuidoL-SatelliteR10Fold5;3;6;4;5;
RuidoL-SatelliteR20Fold1;3;10;6;4;
RuidoL-SatelliteR20Fold2;5;10;10;7;
RuidoL-SatelliteR20Fold3;4;13;13;5;
RuidoL-SatelliteR20Fold4;4;15;7;6;
RuidoL-SatelliteR20Fold5;4;12;11;3;
RuidoL-SatelliteR3Fold1;3;14;4;4;
RuidoL-SatelliteR3Fold2;3;15;4;5;
RuidoL-SatelliteR3Fold3;3;12;3;6;
RuidoL-SatelliteR3Fold4;3;12;5;4;
RuidoL-SatelliteR3Fold5;3;14;9;4;
RuidoL-SatelliteR5Fold1;3;15;6;3;
RuidoL-SatelliteR5Fold2;3;15;3;5;
RuidoL-SatelliteR5Fold3;3;12;4;3;
RuidoL-SatelliteR5Fold4;3;15;3;5;
RuidoL-SatelliteR5Fold5;3;15;4;2;
