Nombre;preSobrantes;preFaltantes;postSobrantes;postFaltantes;
RuidoL-ZenotravelFold1;9;4;3;3;
RuidoL-ZenotravelFold2;12;4;4;4;
RuidoL-ZenotravelFold3;8;4;4;4;
RuidoL-ZenotravelFold4;9;4;3;3;
RuidoL-ZenotravelFold5;9;4;2;2;
RuidoL-ZenotravelR10Fold1;9;6;5;8;
RuidoL-ZenotravelR10Fold2;12;9;5;8;
RuidoL-ZenotravelR10Fold3;8;7;5;6;
RuidoL-ZenotravelR10Fold4;9;7;4;5;
RuidoL-ZenotravelR10Fold5;9;7;5;5;
RuidoL-ZenotravelR20Fold1;9;9;6;6;
RuidoL-ZenotravelR20Fold2;12;9;6;8;
RuidoL-ZenotravelR20Fold3;8;7;6;6;
RuidoL-ZenotravelR20Fold4;9;9;5;7;
RuidoL-ZenotravelR20Fold5;9;9;5;8;
RuidoL-ZenotravelR3Fold1;9;7;6;7;
RuidoL-ZenotravelR3Fold2;12;6;4;7;
RuidoL-ZenotravelR3Fold3;8;5;5;6;
RuidoL-ZenotravelR3Fold4;9;8;6;7;
RuidoL-ZenotravelR3Fold5;9;7;5;6;
RuidoL-ZenotravelR5Fold1;9;7;6;6;
RuidoL-ZenotravelR5Fold2;12;7;6;6;
RuidoL-ZenotravelR5Fold3;8;6;5;6;
RuidoL-ZenotravelR5Fold4;9;6;4;5;
RuidoL-ZenotravelR5Fold5;9;7;4;7;
