Nombre;preSobrantes;preFaltantes;postSobrantes;postFaltantes;
RuidoN-DepotsFold1;2;1;0;0;
RuidoN-DepotsFold2;2;1;1;0;
RuidoN-DepotsFold3;2;1;0;0;
RuidoN-DepotsFold4;2;1;0;0;
RuidoN-DepotsFold5;2;1;0;0;
RuidoN-DepotsR10Fold1;6;1;0;0;
RuidoN-DepotsR10Fold2;6;1;1;0;
RuidoN-DepotsR10Fold3;6;1;0;0;
RuidoN-DepotsR10Fold4;6;1;0;0;
RuidoN-DepotsR10Fold5;8;1;0;0;
RuidoN-DepotsR20Fold1;7;1;0;0;
RuidoN-DepotsR20Fold2;6;1;0;0;
RuidoN-DepotsR20Fold3;6;1;1;0;
RuidoN-DepotsR20Fold4;6;1;0;0;
RuidoN-DepotsR20Fold5;8;1;0;0;
RuidoN-DepotsR3Fold1;6;1;1;0;
RuidoN-DepotsR3Fold2;6;1;0;0;
RuidoN-DepotsR3Fold3;6;1;1;0;
RuidoN-DepotsR3Fold4;6;1;0;0;
RuidoN-DepotsR3Fold5;8;1;0;0;
RuidoN-DepotsR5Fold1;6;1;0;0;
RuidoN-DepotsR5Fold2;6;1;0;0;
RuidoN-DepotsR5Fold3;6;1;3;0;
RuidoN-DepotsR5Fold4;6;1;1;0;
RuidoN-DepotsR5Fold5;8;1;0;0;
