Nombre;preSobrantes;preFaltantes;postSobrantes;postFaltantes;
RuidoN-ZenotravelFold1;9;4;3;3;
RuidoN-ZenotravelFold2;12;4;4;4;
RuidoN-ZenotravelFold3;8;4;4;4;
RuidoN-ZenotravelFold4;9;4;4;4;
RuidoN-ZenotravelFold5;9;4;5;5;
RuidoN-ZenotravelR10Fold1;12;3;2;2;
RuidoN-ZenotravelR10Fold2;16;3;1;1;
RuidoN-ZenotravelR10Fold3;11;3;1;1;
RuidoN-ZenotravelR10Fold4;11;3;5;4;
RuidoN-ZenotravelR10Fold5;12;3;4;4;
RuidoN-ZenotravelR20Fold1;12;3;3;3;
RuidoN-ZenotravelR20Fold2;15;3;3;3;
RuidoN-ZenotravelR20Fold3;11;3;4;4;
RuidoN-ZenotravelR20Fold4;11;3;5;4;
RuidoN-ZenotravelR20Fold5;11;3;1;1;
RuidoN-ZenotravelR3Fold1;12;3;4;4;
RuidoN-ZenotravelR3Fold2;15;3;4;4;
RuidoN-ZenotravelR3Fold3;10;3;1;1;
RuidoN-ZenotravelR3Fold4;11;3;5;4;
RuidoN-ZenotravelR3Fold5;11;3;4;4;
RuidoN-ZenotravelR5Fold1;12;3;1;1;
RuidoN-ZenotravelR5Fold2;15;3;3;3;
RuidoN-ZenotravelR5Fold3;10;3;5;5;
RuidoN-ZenotravelR5Fold4;11;3;5;4;
RuidoN-ZenotravelR5Fold5;11;3;3;3;
