Dominio; succPlans; failPlans
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogFold1.pddl; 6; 0
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR10Fold1.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR20Fold1.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR3Fold1.pddl; 6; 0
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR5Fold1.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogFold2.pddl; 6; 0
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR10Fold2.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR20Fold2.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR3Fold2.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR5Fold2.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogFold3.pddl; 6; 0
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR10Fold3.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR20Fold3.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR3Fold3.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR5Fold3.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogFold4.pddl; 6; 0
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR10Fold4.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR20Fold4.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR3Fold4.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR5Fold4.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogFold5.pddl; 6; 0
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR10Fold5.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR20Fold5.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR3Fold5.pddl; 0; 6
outputPM/Domains/RuidoL-DriverLog/RuidoL-DriverLogR5Fold5.pddl; 0; 6
