Dominio; succPlans; failPlans
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteFold1.pddl; 6; 0
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR10Fold1.pddl; 0; 6
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR20Fold1.pddl; 0; 6
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR3Fold1.pddl; 6; 0
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR5Fold1.pddl; 0; 6
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteFold2.pddl; 2; 1
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR10Fold2.pddl; 0; 3
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR20Fold2.pddl; 0; 3
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR3Fold2.pddl; 0; 3
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR5Fold2.pddl; 2; 1
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteFold3.pddl; 5; 0
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR10Fold3.pddl; 0; 5
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR20Fold3.pddl; 0; 5
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR3Fold3.pddl; 0; 5
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR5Fold3.pddl; 0; 5
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteFold4.pddl; 6; 0
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR10Fold4.pddl; 0; 6
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR20Fold4.pddl; 5; 1
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR3Fold4.pddl; 6; 0
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR5Fold4.pddl; 6; 0
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteFold5.pddl; 2; 2
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR10Fold5.pddl; 0; 4
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR20Fold5.pddl; 0; 4
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR3Fold5.pddl; 2; 2
outputPM/Domains/RuidoL-Satellite/RuidoL-SatelliteR5Fold5.pddl; 2; 2
