Dominio; succPlans; failPlans
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelFold1.pddl; 6; 0
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR10Fold1.pddl; 0; 6
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR20Fold1.pddl; 0; 6
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR3Fold1.pddl; 0; 6
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR5Fold1.pddl; 0; 6
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelFold2.pddl; 6; 0
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR10Fold2.pddl; 1; 5
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR20Fold2.pddl; 1; 5
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR3Fold2.pddl; 1; 5
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR5Fold2.pddl; 1; 5
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelFold3.pddl; 6; 0
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR10Fold3.pddl; 0; 6
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR20Fold3.pddl; 0; 6
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR3Fold3.pddl; 0; 6
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR5Fold3.pddl; 0; 6
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelFold4.pddl; 6; 0
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR10Fold4.pddl; 0; 6
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR20Fold4.pddl; 0; 6
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR3Fold4.pddl; 0; 6
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR5Fold4.pddl; 0; 6
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelFold5.pddl; 6; 0
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR10Fold5.pddl; 1; 5
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR20Fold5.pddl; 1; 5
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR3Fold5.pddl; 1; 5
outputPM/Domains/RuidoN-Zenotravel/RuidoN-ZenotravelR5Fold5.pddl; 1; 5
